genre,hex_colour,x,y,r,g,b
anglican liturgy,#1da16b,136,775,29,161,107
alternative pop rock,#a88604,478,14374,168,134,4
trap triste,#8e9d07,1014,12076,142,157,7
hip hop cubano,#ab7d06,1087,9266,171,125,6
musique traditionnelle comorienne,#869309,925,8689,134,147,9
soda pop,#82800a,581,5944,130,128,10
latin surf rock,#ce71a3,383,12405,206,113,163
classic bhangra,#c07313,988,11285,192,115,19
kayokyoku,#848f09,589,8556,132,143,9
balkan folk metal,#cd625f,224,12442,205,98,95
nigerian hip hop,#c28106,1033,12275,194,129,6
turkish folk,#7d8f14,599,6078,125,143,20
kentucky metal,#d0535c,221,10566,208,83,92
prog metal,#b87b22,267,13139,184,123,34
swedish power metal,#d95f18,208,15305,217,95,24
blackened deathcore,#e14574,139,13771,225,69,116
norwegian black metal,#d73c84,55,10614,215,60,132
gothic black metal,#d45e5d,168,13624,212,94,93
baltic choir,#1e9c36,93,389,30,156,54
cypriot metal,#da5e3f,202,13882,218,94,63
neo-trad metal,#e05420,212,14645,224,84,32
mexican black metal,#d73c7f,48,9669,215,60,127
reading,#497000,1374,5673,73,112,0
australian death metal,#e14880,148,11781,225,72,128
technical black metal,#d4309e,26,9403,212,48,158
melbourne bounce international,#d07951,1013,17980,208,121,81
concertina,#55a68f,923,3878,85,166,143
experimental,#817964,545,6969,129,121,100
experimental jazz,#888696,586,8372,136,134,150
escape room,#a5852f,860,13608,165,133,47
purple sound,#ae8b87,939,17113,174,139,135
world fusion,#889080,751,11509,136,144,128
detroit indie,#ab7d30,557,12538,171,125,48
bagpipe marching band,#69848f,324,6360,105,132,143
cambodian pop,#9f8e0e,882,12012,159,142,14
funk rock,#ba6726,770,13448,186,103,38
electronic rock,#bf794c,607,17504,191,121,76
troubadour,#249d19,536,1944,36,157,25
french soundtrack,#419ea5,355,4662,65,158,165
wrestling,#c5692f,515,15406,197,105,47
rock keyboard,#858573,540,7547,133,133,115
afro soul,#a7881a,882,13804,167,136,26
new isolationism,#7587b8,403,8298,117,135,184
pinoy traditional,#7e8b6d,921,7577,126,139,109
italian new wave,#b37944,613,14273,179,121,68
atmospheric sludge,#b271a4,213,10491,178,113,164
ambeat,#a1876d,1003,15179,161,135,109
polish techno,#b294c5,1237,18920,178,148,197
irish indie,#778a27,689,8777,119,138,39
brass ensemble,#3c96c0,500,1830,60,150,192
miami bass,#998447,1244,18114,153,132,71
classical accordion,#479c60,557,3158,71,156,96
australian dance,#c17e3d,843,17402,193,126,61
nu skool breaks,#c77b84,1037,18212,199,123,132
classical tuba,#1ba5d5,450,982,27,165,213
cuban electronic,#cb7b8d,945,17955,203,123,141
abstract beats,#9b8072,911,12785,155,128,114
german house,#a7949b,1251,18584,167,148,155
greek house,#b090bc,1257,18743,176,144,188
electroacoustic improvisation,#597781,385,5420,89,119,129
cape town indie,#ab852e,786,15697,171,133,46
musica occitana,#91880d,815,9769,145,136,13
lebanese indie,#7e9136,636,9860,126,145,54
tribute,#7f986d,719,11460,127,152,109
santa fe indie,#848e4e,545,9446,132,142,78
indie shoegaze,#a77f89,232,12759,167,127,137
rebel blues,#ab844b,554,15318,171,132,75
ambient pop,#6a948f,367,8004,106,148,143
american modern classical,#339a8d,522,1439,51,154,141
theme,#5c8f8f,371,6457,92,143,143
antideutsche,#c07414,763,14101,192,116,20
er ge,#659636,990,8838,101,150,54
polish experimental,#7b81a3,345,7746,123,129,163
music hall,#488a16,1106,1919,72,138,22
scorecore,#5696bd,305,7571,86,150,189
egyptian traditional,#7c8270,843,4902,124,130,112
african metal,#d35d5a,239,13707,211,93,90
drill francais,#959603,1144,14436,149,150,3
dmv rap,#999105,1080,13691,153,145,5
kritika,#7b9620,615,4636,123,150,32
bhajan,#8d8607,763,6509,141,134,7
diy emo,#b27625,345,11988,178,118,37
louisiana metal,#ce585d,173,9214,206,88,93
virgin islands reggae,#a08c09,1117,12388,160,140,9
dembow,#ca8205,1234,15431,202,130,5
dixieland,#5a8471,1028,2753,90,132,113
deep vocal jazz,#4a9f0b,821,3752,74,159,11
kizomba,#b19212,995,16988,177,146,18
scottish americana,#70970d,579,6510,112,151,13
canadian country,#8d8d08,613,9176,141,141,8
musica maranhense,#998603,874,9113,153,134,3
finnish idol pop,#998c04,508,12086,153,140,4
hardcore,#e54e26,322,10823,229,78,38
finnish alternative rock,#c3721b,341,15178,195,114,27
rock brasiliense,#cc6615,407,12613,204,102,21
reggaeton colombiano,#bc9101,1145,16620,188,145,1
cumbia funk,#b27e23,1020,8887,178,126,35
nordic post-rock,#7793ad,170,9189,119,147,173
rap dominicano,#c18305,1190,14536,193,131,5
